Site,Depth,Site_Depth,Diversity,Observed,Estimator,s.e.,LCL,UCL,Aspective_descriptive,Habitat_simplified
BOUG-02,9.8,BOUG-02_9.8,Species richness,3,5,1.358351149,3,7.662319331,steep_slope,outer_slope
EDIA-01,10,EDIA-01_10,Species richness,3,3,0.679123416,3,4.331057436,wall,lagoon
EDIA-01,15,EDIA-01_15,Species richness,2,2.333333333,1.241555087,2,4.766736589,moderate_slope,lagoon
EDIA-01,19,EDIA-01_19,Species richness,3,5,1.353384584,3,7.652585041,wall,lagoon
EDIA-01,21,EDIA-01_21,Species richness,6,11.57142857,4.493688663,6,20.37889651,moderate_slope,lagoon
EDIA-01,25,EDIA-01_25,Species richness,3,3.857142857,1.044639604,3,5.904598858,gentle_slope,lagoon
EDIA-01,26,EDIA-01_26,Species richness,4,5.833333333,2.2955008,4,10.33243223,moderate_slope,lagoon
EDIA-01,32,EDIA-01_32,Species richness,10,18.60869565,10.0717445,10,38.34895214,gentle_slope,lagoon
EDIA-01,38,EDIA-01_38,Species richness,4,4.947368421,0.573674456,4,6.071749693,gentle_slope,lagoon
EDIA-01,39,EDIA-01_39,Species richness,5,7.769230769,2.204724173,5,12.09041074,gentle_slope,lagoon
EDIA-01,45,EDIA-01_45,Species richness,6,6.238636364,1.940946708,6,10.04282201,gentle_slope,lagoon
EDIA-01,48,EDIA-01_48,Species richness,6,6,0.751514869,6,7.472942076,flat,lagoon
EDIA-01,50,EDIA-01_50,Species richness,2,2,0.460566186,2,2.902693138,flat,lagoon
EDIA-02,15.2,EDIA-02_15.2,Species richness,6,6.928571429,2.526022015,6,11.8794836,moderate_slope,inner_reef
EDIA-02,15.4,EDIA-02_15.4,Species richness,7,14.33333333,6.956858713,7,27.96852586,moderate_slope,inner_reef
EDIA-02,19.1,EDIA-02_19.1,Species richness,4,7.6,3.136987553,4,13.74838262,gentle_slope,inner_reef
EDIA-02,20,EDIA-02_20,Species richness,6,8.025,3.884621803,6,15.63871883,gentle_slope,inner_reef
EDIA-02,24.2,EDIA-02_24.2,Species richness,3,3.875,0.869739553,3,5.579658201,gentle_slope,inner_reef
EDIA-02,25,EDIA-02_25,Species richness,5,9.05,4.561270112,5,17.98992514,steep_slope,inner_reef
EDIA-02,30.9,EDIA-02_30.9,Species richness,3,4.5,1.916989433,3,8.257230247,flat,inner_reef
EDIA-02,8.7,EDIA-02_8.7,Species richness,3,3.4375,1.252805367,3,5.892953399,flat,inner_reef
EDIA-02,9,EDIA-02_9,Species richness,5,9.21875,4.027369946,5,17.11225005,flat,inner_reef
EDNA-01,14,EDNA-01_14,Species richness,1,1,0,1,1,flat,inner_reef
EDNA-01,19.1,EDNA-01_19.1,Species richness,1,1,0,1,1,flat,inner_reef
EDNA-01,26.7,EDNA-01_26.7,Species richness,4,4.472222222,1.263717559,4,6.949063125,flat,inner_reef
EDNA-01,39,EDNA-01_39,Species richness,9,18.47368421,8.472502167,9,35.07948332,flat,inner_reef
EDNA-01,48,EDNA-01_48,Species richness,2,2.333333333,1.319796604,2,4.920087144,flat,inner_reef
EDNA-01,79,EDNA-01_79,Species richness,5,5.888888889,2.794785196,5,11.36656722,flat,inner_reef
EDNA-01,9.8,EDNA-01_9.8,Species richness,5,5,0.733720925,5,6.438066589,flat,outer_slope
FLIN-01,15.3,FLIN-01_15.3,Species richness,3,4.5,2.105134416,3,8.625987638,moderate_slope,outer_slope
FLIN-01,20.4,FLIN-01_20.4,Species richness,3,3.8,1.674829706,3,7.082605905,moderate_slope,outer_slope
FLIN-01,25.3,FLIN-01_25.3,Species richness,2,2,0.45126086,2,2.884455033,moderate_slope,outer_slope
FLIN-01,30.2,FLIN-01_30.2,Species richness,3,3.428571429,1.221210203,3,5.822099444,moderate_slope,outer_slope
FLIN-01,34.3,FLIN-01_34.3,Species richness,4,8.5,2.173648425,4.239727372,12.76027263,moderate_slope,outer_slope
FLIN-01,35.2,FLIN-01_35.2,Species richness,4,7.6,3.385088513,4,14.23465157,wall,outer_slope
FLIN-01,35.6,FLIN-01_35.6,Species richness,6,7.333333333,4.014664943,6,15.20193203,steep_slope,outer_slope
FLIN-01,37.1,FLIN-01_37.1,Species richness,4,6.5,2.816241775,4,12.01973245,wall,outer_slope
FLIN-01,41.5,FLIN-01_41.5,Species richness,3,5,1.292297826,3,7.532857195,steep_slope,outer_slope
FLIN-01,42.1,FLIN-01_42.1,Species richness,1,1,0,1,1,wall,outer_slope
FLIN-01,45.2,FLIN-01_45.2,Species richness,1,1,0,1,1,wall,outer_slope
FLIN-01,45.7,FLIN-01_45.7,Species richness,1,1,0,1,1,gentle_slope,outer_slope
FLIN-01,5.2,FLIN-01_5.2,Species richness,3,3.857142857,0.995843764,3,5.80896077,gentle_slope,outer_slope
FLIN-01,67.1,FLIN-01_67.1,Species richness,1,1,0,1,1,gentle_slope,outer_slope
FLIN-01,9.9,FLIN-01_9.9,Species richness,4,5.75,2.425086874,4,10.50308293,gentle_slope,outer_slope
FLIN-02,40,FLIN-02_40,Species richness,1,1,0,1,1,flat,lagoon
FLIN-02,41.5,FLIN-02_41.5,Species richness,1,1,0,1,1,flat,lagoon
FLIN-02,43.3,FLIN-02_43.3,Species richness,3,3.45,1.230037031,3,5.860828281,flat,lagoon
FLIN-02,44,FLIN-02_44,Species richness,3,4.5,2.18129676,3,8.775263089,flat,lagoon
FLIN-04,17.4,FLIN-04_17.4,Species richness,1,1,0,1,1,flat,lagoon
FLIN-04,18.8,FLIN-04_18.8,Species richness,4,4.954545455,0.772043532,4,6.467722971,gentle_slope,lagoon
FLIN-04,34.1,FLIN-04_34.1,Species richness,3,3.416666667,1.323542546,3,6.010762389,flat,lagoon
FRAN-01,14,FRAN-01_14,Species richness,4,6.75,1.925662571,4,10.52422929,moderate_slope,outer_slope
FRAN-01,25,FRAN-01_25,Species richness,8,9.4,4.072803423,8,17.38254803,moderate_slope,outer_slope
FRAN-01,35,FRAN-01_35,Species richness,6,18.5,5.282837221,8.14582931,28.85417069,steep_slope,outer_slope
FRAN-01,8,FRAN-01_8,Species richness,2,2.333333333,1.383305951,2,5.044563177,steep_slope,outer_slope
FRED-01,34.8,FRED-01_34.8,Species richness,3,3,0.635682384,3,4.245914577,gentle_slope,inner_reef
FRED-02,24,FRED-02_24,Species richness,1,1,0,1,1,gentle_slope,lagoon
GEOR-01,32.6,GEOR-01_32.6,Species richness,2,2,0.287623491,2,2.563731684,gentle_slope,outer_slope
GEOR-01,36.2,GEOR-01_36.2,Species richness,4,5.714285714,1.886045901,4,9.410867753,moderate_slope,outer_slope
GEOR-01,41.2,GEOR-01_41.2,Species richness,1,1,0,1,1,steep_slope,outer_slope
GEOR-01,51.4,GEOR-01_51.4,Species richness,2,2,0.368452949,2,2.72215451,moderate_slope,outer_slope
HERA-01,35.3,HERA-01_35.3,Species richness,1,1,0,1,1,flat,passage
HERA-01,37.1,HERA-01_37.1,Species richness,9,9.642857143,2.970086948,9,15.46412059,gentle_slope,passage
HERA-01,40.4,HERA-01_40.4,Species richness,8,8.241071429,2.484750822,8,13.11109355,gentle_slope,passage
HERA-01,40.5,HERA-01_40.5,Species richness,8,8.641975309,2.190206427,8,12.93470102,gentle_slope,passage
HERA-01,41.7,HERA-01_41.7,Species richness,9,16.66666667,7.61566789,9,31.59310145,gentle_slope,passage
HERA-01,43.5,HERA-01_43.5,Species richness,3,3,0.569029646,3,4.115277611,gentle_slope,passage
HERA-01,43.8,HERA-01_43.8,Species richness,5,7.727272727,2.56474131,5,12.75407332,gentle_slope,passage
HERM-01,10.2,HERM-01_10.2,Species richness,6,15,4.620904486,6,24.05680637,moderate_slope,lagoon
HERM-01,13.5,HERM-01_13.5,Species richness,6,6.115384615,2.406784032,6,10.83259464,moderate_slope,lagoon
HERM-01,14.1,HERM-01_14.1,Species richness,4,7.6,2.957374621,4,13.39634775,moderate_slope,lagoon
HERM-01,15.2,HERM-01_15.2,Species richness,4,4.9,1.589380716,4,8.015128961,moderate_slope,lagoon
HERM-01,21.1,HERM-01_21.1,Species richness,2,2,0.326598632,2,2.640121557,flat,lagoon
HERM-01,22,HERM-01_22,Species richness,3,3.8,1.596177251,3,6.928449926,flat,lagoon
HERM-01,23.7,HERM-01_23.7,Species richness,1,1,0,1,1,gentle_slope,lagoon
HERM-01,30.1,HERM-01_30.1,Species richness,8,29.77777778,11.46672077,8,52.25213751,flat,lagoon
HERM-01,30.3,HERM-01_30.3,Species richness,8,12.3125,4.90495654,8,21.92603816,flat,lagoon
HERM-01,31,HERM-01_31,Species richness,8,8.470588235,3.153761362,8,14.65184692,flat,lagoon
HERM-01,33.2,HERM-01_33.2,Species richness,1,1,0,1,1,flat,lagoon
HERM-01,38.7,HERM-01_38.7,Species richness,1,1,0,1,1,flat,lagoon
HERM-01,40.2,HERM-01_40.2,Species richness,2,2.5,0.727854881,2,3.926569352,flat,lagoon
HERM-01,41.2,HERM-01_41.2,Species richness,3,3,0.615869901,3,4.207082825,flat,lagoon
HERM-01,42.5,HERM-01_42.5,Species richness,3,3.416666667,1.247447169,3,5.86161819,flat,lagoon
HERM-01,46.2,HERM-01_46.2,Species richness,5,5,0.957509527,5,6.876684188,flat,lagoon
HERM-01,46.4,HERM-01_46.4,Species richness,1,1,0,1,1,flat,lagoon
HERM-01,46.6,HERM-01_46.6,Species richness,4,5.833333333,2.21853066,4,10.18157352,flat,lagoon
HERM-01,46.8,HERM-01_46.8,Species richness,2,2,0.326598632,2,2.640121557,flat,lagoon
HERM-01,47.1,HERM-01_47.1,Species richness,2,2.5,0.69084928,2,3.854039707,flat,lagoon
HERM-01,47.7,HERM-01_47.7,Species richness,4,7.6,3.146884944,4,13.76778115,flat,lagoon
HERM-01,47.9,HERM-01_47.9,Species richness,2,2,0.2564324,2,2.502598268,flat,lagoon
HERM-01,48.1,HERM-01_48.1,Species richness,2,2,0.460566186,2,2.902693138,flat,lagoon
HOLM-01,34.7,HOLM-01_34.7,Species richness,3,4.5,2.10345435,3,8.622694769,gentle_slope,outer_slope
HOLM-01,36,HOLM-01_36,Species richness,5,5.46875,1.707251164,5,8.814900795,moderate_slope,outer_slope
HOLM-01,36.8,HOLM-01_36.8,Species richness,4,5.75,2.181397723,4,10.02546097,moderate_slope,outer_slope
HOLM-01,42.5,HOLM-01_42.5,Species richness,3,3,0.588552935,3,4.153542556,moderate_slope,outer_slope
HOLM-01,43,HOLM-01_43,Species richness,2,2.5,0.719058728,2,3.90932921,moderate_slope,outer_slope
HOLM-01,46.4,HOLM-01_46.4,Species richness,3,3,0.376276343,3,3.73748808,moderate_slope,outer_slope
HOLM-01,51,HOLM-01_51,Species richness,5,6.818181818,2.738556666,5,12.18565425,steep_slope,outer_slope
HOLM-01,52.4,HOLM-01_52.4,Species richness,1,1,0,1,1,steep_slope,outer_slope
HOLM-01,55,HOLM-01_55,Species richness,4,4.142857143,1.814486246,4,7.699184836,steep_slope,outer_slope
HOLM-02,28,HOLM-02_28,Species richness,10,13.80952381,5.600871614,10,24.78703045,gentle_slope,outer_slope
HOLM-02,31.2,HOLM-02_31.2,Species richness,4,4.833333333,1.974346381,4,8.702981132,gentle_slope,outer_slope
HOLM-02,35,HOLM-02_35,Species richness,12,50.25,21.87862451,12,93.13131607,gentle_slope,outer_slope
HOLM-02,37,HOLM-02_37,Species richness,6,10.15384615,3.966340584,6,17.92773085,gentle_slope,outer_slope
HOLM-02,45,HOLM-02_45,Species richness,2,2.5,0.75,2,3.969972988,wall,outer_slope
HOLM-02,54.5,HOLM-02_54.5,Species richness,3,5,1.386094158,3,7.716694629,steep_slope,outer_slope
HOLM-02,56.6,HOLM-02_56.6,Species richness,1,1,0,1,1,steep_slope,outer_slope
HOLM-02,62.7,HOLM-02_62.7,Species richness,2,2.5,0.741466606,2,3.953247843,steep_slope,outer_slope
HOLM-02,63.2,HOLM-02_63.2,Species richness,2,2,0.358870281,2,2.703372826,steep_slope,outer_slope
HOLM-02,63.7,HOLM-02_63.7,Species richness,2,2,0.272659924,2,2.534403632,steep_slope,outer_slope
HOLM-03,12.6,HOLM-03_12.6,Species richness,6,8.8,3.11127842,6,14.89799365,steep_slope,outer_slope
HOLM-03,18.2,HOLM-03_18.2,Species richness,4,4,0.567805097,4,5.112877541,steep_slope,outer_slope
HOLM-03,2.3,HOLM-03_2.3,Species richness,7,12.89655172,4.661277603,7,22.03248795,gentle_slope,outer_slope
HOLM-03,22.4,HOLM-03_22.4,Species richness,3,3.8,1.148164983,3,6.050362015,gentle_slope,outer_slope
HOLM-03,27.3,HOLM-03_27.3,Species richness,3,3.416666667,1.41551721,3,6.191029419,gentle_slope,outer_slope
HOLM-03,32.2,HOLM-03_32.2,Species richness,1,1,0,1,1,gentle_slope,outer_slope
HOLM-03,41.6,HOLM-03_41.6,Species richness,1,1,0,1,1,gentle_slope,outer_slope
HOLM-03,46.8,HOLM-03_46.8,Species richness,1,1,0,1,1,gentle_slope,outer_slope
HOLM-03,57.1,HOLM-03_57.1,Species richness,1,1,0,1,1,gentle_slope,outer_slope
HOLM-03,61.6,HOLM-03_61.6,Species richness,1,1,0,1,1,gentle_slope,outer_slope
HOLM-03,9.6,HOLM-03_9.6,Species richness,6,7.882352941,2.621125424,6,13.01966437,gentle_slope,outer_slope
HOLM-04,12,HOLM-04_12,Species richness,5,6.928571429,2.741587835,5,12.30198484,moderate_slope,outer_slope
HOLM-04,17,HOLM-04_17,Species richness,10,27.25,10.53104443,10,47.89046781,gentle_slope,outer_slope
HOLM-04,22,HOLM-04_22,Species richness,7,10.73333333,6.497563218,7,23.46832323,gentle_slope,outer_slope
HOLM-04,28,HOLM-04_28,Species richness,3,3.8,1.586736693,3,6.909946771,gentle_slope,outer_slope
HOLM-04,3,HOLM-04_3,Species richness,4,6.5,2.433022413,4,11.2686363,gentle_slope,outer_slope
HOLM-04,32,HOLM-04_32,Species richness,8,19.53846154,8.302762646,8,35.8115773,gentle_slope,outer_slope
HOLM-04,37,HOLM-04_37,Species richness,3,3,0.511485816,3,4.002493778,gentle_slope,outer_slope
HOLM-04,41,HOLM-04_41,Species richness,2,2.333333333,1.104708828,2,4.498522849,gentle_slope,outer_slope
HOLM-04,7,HOLM-04_7,Species richness,2,2.333333333,1.2,2,4.685290115,gentle_slope,outer_slope
HOLM-04,71,HOLM-04_71,Species richness,1,1,0,1,1,wall,outer_slope
HSUP-01,13.7,HSUP-01_13.7,Species richness,12,13.46052632,4.241352472,12,21.77342441,steep_slope,outer_slope
HSUP-01,18.6,HSUP-01_18.6,Species richness,8,13.75,4.920204882,8,23.39342436,moderate_slope,outer_slope
HSUP-01,28.4,HSUP-01_28.4,Species richness,9,11.2,5.385850401,9,21.75607281,gentle_slope,outer_slope
HSUP-01,39.6,HSUP-01_39.6,Species richness,5,5.476190476,1.518575366,5,8.452543501,steep_slope,outer_slope
HSUP-01,47.6,HSUP-01_47.6,Species richness,5,5.888888889,2.715081222,5,11.2103503,steep_slope,outer_slope
HSUP-01,55.5,HSUP-01_55.5,Species richness,3,4.5,1.754186911,3,7.938143167,steep_slope,outer_slope
HSUP-01,61.3,HSUP-01_61.3,Species richness,2,2.5,0.669294065,2,3.811792262,steep_slope,outer_slope
HSUP-01,9.6,HSUP-01_9.6,Species richness,10,13.87096774,6.511400636,10,26.63307848,steep_slope,outer_slope
JULI-01,28,JULI-01_28,Species richness,2,2,0.314466038,2,2.616342108,gentle_slope,outer_slope
JULI-01,34.9,JULI-01_34.9,Species richness,6,8.863636364,2.177816468,6,13.1320782,gentle_slope,outer_slope
JULI-01,68,JULI-01_68,Species richness,1,1,0,1,1,flat,outer_slope
JULI-01,98,JULI-01_98,Species richness,1,1,0,1,1,steep_slope,outer_slope
JULI-02,35.4,JULI-02_35.4,Species richness,6,13.11111111,6.164755773,6,25.1938104,moderate_slope,outer_slope
JULI-02,47.6,JULI-02_47.6,Species richness,5,5,0.781050732,5,6.530831305,gentle_slope,outer_slope
JULI-02,59.1,JULI-02_59.1,Species richness,1,1,0,1,1,gentle_slope,outer_slope
JULI-02,67.1,JULI-02_67.1,Species richness,4,4.21875,1.843376046,4,7.83170066,moderate_slope,outer_slope
JULI-02,77,JULI-02_77,Species richness,2,2,0.272659924,2,2.534403632,moderate_slope,outer_slope
JULI-02,86.4,JULI-02_86.4,Species richness,1,1,0,1,1,moderate_slope,outer_slope
JULI-02,94.2,JULI-02_94.2,Species richness,1,1,0,1,1,moderate_slope,outer_slope
KENN-01,31.1,KENN-01_31.1,Species richness,7,18.25,8.263089077,7,34.44535699,steep_slope,outer_slope
KENN-01,31.4,KENN-01_31.4,Species richness,11,13.19642857,4.729678202,11,22.46642751,gentle_slope,outer_slope
KENN-01,32.3,KENN-01_32.3,Species richness,4,5.75,2.261693828,4,10.18283845,gentle_slope,outer_slope
KENN-01,40.8,KENN-01_40.8,Species richness,6,10.125,5.160765351,6,20.23991422,steep_slope,outer_slope
KENN-02,20,KENN-02_20,Species richness,1,1,0,1,1,gentle_slope,lagoon
LORN-01,27,LORN-01_27,Species richness,4,5.8,1.952165513,4,9.626174097,flat,outer_slope
LORN-01,31.7,LORN-01_31.7,Species richness,1,1,0,1,1,flat,outer_slope
LORN-01,32.5,LORN-01_32.5,Species richness,4,5.714285714,2.219785099,4,10.06498456,flat,outer_slope
LORN-01,34,LORN-01_34,Species richness,4,4,0.816182839,4,5.599688969,flat,outer_slope
LORN-01,36.5,LORN-01_36.5,Species richness,2,2.333333333,1.187363318,2,4.660522674,flat,outer_slope
LORN-01,4,LORN-01_4,Species richness,4,5.714285714,2.280998359,4,10.18496035,flat,outer_slope
LORN-01,40,LORN-01_40,Species richness,6,6.15625,2.350347427,6,10.76284631,gentle_slope,outer_slope
LORN-01,44.8,LORN-01_44.8,Species richness,5,5.909090909,2.252689939,5,10.32428206,gentle_slope,outer_slope
LORN-01,45.1,LORN-01_45.1,Species richness,3,3,0.272659924,3,3.534403632,flat,outer_slope
LORN-01,46,LORN-01_46,Species richness,1,1,0,1,1,steep_slope,outer_slope
LORN-01,55.2,LORN-01_55.2,Species richness,3,5,1.346467299,3,7.639027412,steep_slope,outer_slope
LORN-01,55.6,LORN-01_55.6,Species richness,2,2.5,0.727854881,2,3.926569352,steep_slope,outer_slope
LORN-01,9,LORN-01_9,Species richness,5,10.14285714,3.179000733,5,16.37358409,steep_slope,outer_slope
LORN-02,15,LORN-02_15,Species richness,7,7.122222222,2.628966093,7,12.27490108,steep_slope,outer_slope
LORN-02,7,LORN-02_7,Species richness,8,10.46153846,5.298574452,8,20.84655356,flat,lagoon
MARG-01,17.3,MARG-01_17.3,Species richness,2,2,0.43519414,2,2.85296484,gentle_slope,outer_slope
MARG-01,25.2,MARG-01_25.2,Species richness,10,36.72727273,13.37894466,10.50502304,62.94952241,moderate_slope,outer_slope
MARG-01,34.2,MARG-01_34.2,Species richness,1,1,0,1,1,moderate_slope,outer_slope
MARG-01,43.6,MARG-01_43.6,Species richness,5,9,2.973876366,5,14.82869057,moderate_slope,outer_slope
MARG-01,53.3,MARG-01_53.3,Species richness,2,2.333333333,1.225541865,2,4.73535125,steep_slope,outer_slope
MARG-01,9,MARG-01_9,Species richness,12,23.73958333,10.00154597,12,43.34225322,steep_slope,outer_slope
MARG-02,13.8,MARG-02_13.8,Species richness,2,2,0.496044964,2,2.972230264,moderate_slope,lagoon
MARG-02,34.5,MARG-02_34.5,Species richness,1,1,0,1,1,moderate_slope,lagoon
MARG-02,34.9,MARG-02_34.9,Species richness,1,1,0,1,1,moderate_slope,lagoon
MARG-02,42.2,MARG-02_42.2,Species richness,1,1,0,1,1,moderate_slope,lagoon
MARG-02,6.4,MARG-02_6.4,Species richness,6,10.3902439,4.486704929,6,19.18402397,moderate_slope,lagoon
MARG-02,7.7,MARG-02_7.7,Species richness,5,6.96875,1.989945031,5,10.86897059,moderate_slope,lagoon
MARI-01,33.9,MARI-01_33.9,Species richness,3,3.888888889,0.986464702,3,5.822324176,flat,lagoon
MARI-01,35,MARI-01_35,Species richness,3,3.833333333,1.119003222,3,6.026539346,flat,lagoon
MARI-02,18,MARI-02_18,Species richness,4,4.225,1.636498383,4,7.432477891,flat,lagoon
MARI-02,38,MARI-02_38,Species richness,3,3.454545455,1.23997575,3,5.884853267,flat,lagoon
